X-POSF,Y-POSF,X-TCMD,Y-TCMD,Z-TCMD,SPEED,S-TCMD
-0.053,-0.002,-1.167261741,5.383136501,-5.87750618,-1434,-0.622558594
-0.055,-0.002,-1.139796759,5.232079099,-5.932436144,-1433,-0.628662109
-0.056,-0.002,-1.139796759,5.534193903,-5.904971162,-1432,-0.634765625
-0.057,-0.002,-1.098599286,5.383136501,-5.863773689,-1433,-0.445556641
-0.058,-0.002,-1.112331777,5.218346608,-5.87750618,-1433,-0.103759766
-0.059,-0.002,-1.112331777,5.438066465,-5.850041197,-1432,0.152587891
-0.061,-0.002,-1.139796759,5.644053831,-5.918703653,-1433,-0.122070313
-0.062,-0.002,-1.098599286,5.273276572,-5.850041197,-1433,-0.469970703
-0.063,-0.002,-1.139796759,5.561658885,-5.918703653,-1434,-0.87890625
-0.064,-0.002,-1.043669322,5.589123867,-5.836308706,-1434,-1.007080078
-0.066,-0.002,-1.071134304,5.314474046,-5.850041197,-1433,-1.135253906
-0.067,-0.002,-1.016204339,5.383136501,-5.904971162,-1432,-0.946044922
-0.068,-0.002,-1.057401813,5.657786322,-5.87750618,-1432,-0.408935547
-0.069,-0.002,-1.043669322,5.383136501,-5.822576215,-1433,-0.042724609
-0.07,-0.002,-1.043669322,5.273276572,-5.891238671,-1433,0.177001953
-0.071,-0.002,-1.112331777,5.561658885,-5.822576215,-1434,0.469970703
-0.073,-0.002,-1.098599286,5.506728921,-5.891238671,-1434,0.146484375
-0.074,-0.002,-1.098599286,5.341939028,-5.808843724,-1434,-0.030517578
-0.075,-0.002,-1.098599286,5.49299643,-5.836308706,-1434,0.091552734
-0.076,-0.004,-1.084866795,5.698983796,-5.644053831,-1434,-0.207519531
-0.077,-0.003,-1.057401813,5.273276572,-5.726448778,-1434,0.29296875
-0.078,-0.003,-1.098599286,5.355671519,-5.740181269,-1434,0.469970703
-0.079,-0.003,-1.084866795,5.575391376,-5.726448778,-1433,0.762939453
-0.081,-0.003,-1.126064268,5.438066465,-5.836308706,-1433,0.897216797
-0.082,-0.003,-1.112331777,5.218346608,-5.740181269,-1433,0.384521484
-0.083,-0.003,-1.126064268,5.383136501,-5.712716287,-1434,0.042724609
-0.084,-0.003,-1.112331777,5.589123867,-5.822576215,-1434,-0.396728516
-0.085,-0.003,-1.126064268,5.259544081,-5.726448778,-1434,-0.524902344
-0.086,-0.003,-1.126064268,5.190881626,-5.75391376,-1433,-0.408935547
-0.087,-0.003,-1.126064268,5.451798956,-5.75391376,-1432,-0.286865234
-0.088,-0.003,-1.180994232,5.383136501,-5.795111233,-1433,-0.122070313
-0.089,-0.003,-1.098599286,5.122219171,-5.726448778,-1432,0.170898438
-0.09,-0.003,-1.15352925,5.218346608,-5.740181269,-1433,-0.061035156
-0.091,-0.003,-1.112331777,5.396868992,-5.726448778,-1433,-0.256347656
-0.092,-0.003,-1.15352925,5.410601483,-5.726448778,-1434,-0.280761719
-0.093,-0.003,-1.139796759,5.177149135,-5.712716287,-1434,-0.567626953
-0.094,-0.003,-1.194726723,5.424333974,-5.712716287,-1433,-0.738525391
